,resource,response,response_lower,response_upper
0,1,0.02553765178871909,-0.09846928309103327,0.15573726568951776
1,2,0.6559166061546764,0.5944273581543253,0.7177679912020699
2,3,0.7850213958219063,0.7331949860135264,0.8369702965399398
3,4,0.8349290146983309,0.7880611300093426,0.8817364198913438
4,5,0.8618595343843852,0.8182446222449556,0.9067938528204074
5,6,0.8759122171392384,0.8326188833879398,0.919703945008869
6,7,0.8828480291799927,0.8383225263824146,0.9263161129012744
7,8,0.8894242869976662,0.8453384147682306,0.9340344831516177
8,9,0.8947342657939655,0.850850571403387,0.937698118254344
9,10,0.8968751907766883,0.8534522290407571,0.939688384479277
10,12,0.9017087596276977,0.8577942189261599,0.9444038834407593
11,13,0.9022688860971416,0.8585842701655527,0.9447488011248426
12,15,0.9046006857279032,0.8620070271850702,0.9463018684260724
13,17,0.9075863580081843,0.8665974897885814,0.948607811048585
14,20,0.9099406569146115,0.8697672598562737,0.9500023638475241
15,22,0.9137834897613405,0.8743760724291147,0.9524419102264837
16,25,0.9162040716322574,0.87899766682036,0.9542565467040305
17,29,0.9214517891416264,0.8847783413491436,0.9572372474739408
18,33,0.9257568881479247,0.8906018933709502,0.9619598137095329
19,37,0.9281491183935332,0.8942565472826326,0.9630198157788846
20,42,0.9298317458210222,0.8953358490439528,0.9648536509268634
21,48,0.9346013414047547,0.9034090392709268,0.9680516381985206
22,54,0.9385595545659872,0.9063989606865014,0.9707757006697953
23,62,0.9385595545659872,0.9063989606865014,0.9707757006697953
24,70,0.9406150450086602,0.9088766602302325,0.9716324921115417
25,79,0.9407959558903335,0.91055524248895,0.9712610645171464
26,90,0.9407959558903335,0.91055524248895,0.9712610645171464
27,103,0.9431695013328476,0.913067741264167,0.9733036048083
28,117,0.9444127858346879,0.9144483101965536,0.9744257574667422
29,132,0.9458461228611059,0.9169865008449387,0.974616197752949
30,150,0.9539910775650972,0.9284090916518994,0.9819942926177404
31,171,0.9551261239681301,0.9284648237446724,0.9831508413364413
32,194,0.9628333830579716,0.9393750280411263,0.987437020397216
33,221,0.9646426066603223,0.9412194854408961,0.9882441830102042
34,251,0.9676442698947832,0.9448210066979666,0.9893730107691222
35,285,0.9676442698947832,0.9448210066979666,0.9893730107691222
36,323,0.9676442698947832,0.9448210066979666,0.9893730107691222
37,367,0.9676442698947832,0.9448210066979666,0.9893730107691222
38,417,0.9792855690834573,0.9653028607427495,0.9929827338386754
39,474,0.9808608784339254,0.967930279437047,0.9927125618744524
40,539,0.9823201898491771,0.9697220287543098,0.9948808071154148
41,612,0.9842075229424762,0.9724393108074325,0.9968694123672037
42,695,0.986231254676731,0.9763926702331284,0.9969912065225592
43,790,0.9886137876296168,0.9798861380784911,0.9982081539392238
44,897,0.9898372614014013,0.9809545047969931,0.9997125684110044
45,1019,0.9903325970669349,0.9822271467996402,0.9997126278766321
46,1158,0.9912443583169347,0.9843731102325245,0.9989754211683898
47,1316,0.9924744742558459,0.9860653675685294,0.9997125708411668
48,1495,0.9935964524511601,0.9869916211150196,0.9999503699819533
49,1698,0.9936324490874016,0.9872538104060132,0.999740516547981
50,1929,0.9947836607099052,0.9884797007268771,0.9999503850880548
